"year","quarter","total_orders","total_revenue","avg_order_value","total_shipping_cost"
2022,1,197,1692992.00,8593.87,19438.95
2022,2,205,1639314.03,7996.65,19736.06
2022,3,185,1417503.95,7662.18,16631.12
2022,4,212,1575090.14,7429.67,19896.99
2023,1,262,2541163.16,9699.10,27681.86
2023,2,224,2041685.06,9114.67,23347.11
2023,3,252,2268970.76,9003.85,28148.10
2023,4,261,2501388.82,9583.87,26935.88
2024,1,211,2166653.24,10268.50,24017.82
2024,2,178,1704531.83,9576.02,20650.70
2024,3,199,1973171.09,9915.43,21680.10
2024,4,14,153784.95,10984.64,1852.20
