"order_number","order_date","customer_name","customer_type","warehouse_name","warehouse_city","status","priority","items_count","total_units","subtotal","shipping_cost","total_amount","carrier_name","tracking_number","required_date","delivery_date","delivery_status","total_fulfillment_days"
SO-2024-000142,2024-10-07,SmallBiz Suppliers,B2B,NYC Distribution Center,New York,Shipped,Standard,2,19,1898.41,209.24,10302.83,Maersk Ocean Freight,TRK-0000001942-1904,2024-10-15,2024-10-21,Late,14
SO-2024-000074,2024-10-06,BulkBuy Wholesale,Wholesale,NYC Distribution Center,New York,Shipped,Standard,2,9,328.93,114.04,983.01,J.B. Hunt Transport,TRK-0000001874-1839,2024-10-19,,,
SO-2024-000189,2024-10-06,AutoZone Distributors,Wholesale,Dallas Mega Center,Dallas,Delivered,Standard,2,18,773.93,213.54,5079.41,FedEx Express,TRK-0000001989-1947,2024-10-23,2024-10-20,On Time,14
SO-2024-000429,2024-10-06,Corner Store Network,Retail,NYC Distribution Center,New York,Delivered,Standard,2,33,944.67,57.43,16344.21,FedEx Ground,TRK-0000002229-2167,2024-10-15,2024-10-18,Late,12
SO-2024-000171,2024-10-06,Corner Store Network,Retail,San Francisco Bay,San Francisco,Delivered,Standard,2,35,2561.73,183.24,17250.21,USPS Priority,TRK-0000001971-1931,2024-10-11,2024-10-24,Late,18
SO-2024-000219,2024-10-05,BulkBuy Wholesale,Wholesale,San Francisco Bay,San Francisco,Delivered,Standard,2,7,251.45,45.51,13145.83,Old Dominion Freight,TRK-0000002019-1975,2024-10-15,2024-10-10,On Time,5
SO-2024-000580,2024-10-05,QuickStop Convenience,Retail,Atlanta Regional DC,Atlanta,Delivered,High,2,22,470.78,183.21,12079.04,J.B. Hunt Transport,TRK-0000002380-2310,2024-10-19,2024-10-20,Late,15
SO-2024-000358,2024-10-05,BuildRight Hardware,Wholesale,NYC Distribution Center,New York,Delivered,Standard,2,27,657.17,169.42,3545.24,J.B. Hunt Transport,TRK-0000002158-2105,2024-10-15,2024-10-20,Late,15
SO-2024-000596,2024-10-05,QuickStop Convenience,Retail,San Francisco Bay,San Francisco,Delivered,Standard,2,19,499.69,212.87,13629.60,J.B. Hunt Transport,TRK-0000002396-2325,2024-10-22,2024-10-13,On Time,8
SO-2024-000568,2024-10-03,HomeGoods Plus,Retail,Chicago Central Hub,Chicago,Delivered,Standard,2,18,566.82,122.11,10732.09,UPS Ground,TRK-0000002368-2298,2024-10-17,2024-10-17,On Time,14
SO-2024-000344,2024-10-03,TechSolutions Inc,B2B,Seattle Tech Hub,Seattle,Delivered,Standard,2,22,394.77,64.52,17798.89,XPO Logistics,TRK-0000002144-2092,2024-10-12,2024-10-10,On Time,7
SO-2024-000007,2024-10-03,FitLife Gyms,B2B,Chicago Central Hub,Chicago,Delivered,Standard,2,23,459.77,31.67,18905.04,FedEx Express,TRK-0000001807-1779,2024-10-15,,,
SO-2024-000263,2024-10-01,Corner Store Network,Retail,Chicago Central Hub,Chicago,Delivered,Standard,2,22,1799.78,167.47,1785.64,USPS Priority,TRK-0000002063-2017,2024-10-17,,,
SO-2024-000377,2024-10-01,BuildRight Hardware,Wholesale,Toronto Central,Toronto,Delivered,Standard,2,24,452.74,77.93,12203.91,UPS Ground,TRK-0000002177-2120,2024-10-15,2024-10-08,On Time,7
SO-2024-000003,2024-09-30,RestaurantGoods Pro,B2B,Dallas Mega Center,Dallas,Delivered,Standard,2,5,98.26,23.92,18874.97,DHL Express,TRK-0000001803-1775,2024-10-18,,,
SO-2024-000164,2024-09-30,SmartHome Solutions,B2B,Boston Fulfillment Hub,Boston,Delivered,Standard,2,6,449.94,120.68,13452.68,USPS Priority,TRK-0000001964-1925,2024-10-10,2024-10-08,On Time,8
SO-2024-000297,2024-09-30,Corner Store Network,Retail,Miami Cold Storage,Miami,Delivered,Standard,2,21,989.79,166.54,5142.07,J.B. Hunt Transport,TRK-0000002097-2048,2024-10-13,2024-10-07,On Time,7
SO-2024-000012,2024-09-30,Premium Auto Parts,Wholesale,Los Angeles Port DC,Los Angeles,Shipped,Standard,2,24,458.49,120.65,10753.48,J.B. Hunt Transport,TRK-0000001812-1783,2024-10-15,2024-10-11,On Time,11
SO-2024-000186,2024-09-30,RestaurantGoods Pro,B2B,Phoenix Regional,Phoenix,Delivered,Standard,2,12,1009.88,173.10,1581.03,FedEx Ground,TRK-0000001986-1944,2024-10-13,2024-10-08,On Time,8
SO-2024-000176,2024-09-30,Outdoor Adventures,Retail,Phoenix Regional,Phoenix,Delivered,Standard,2,18,2119.82,42.32,2293.57,UPS Next Day Air,TRK-0000001976-1935,2024-10-07,2024-10-07,On Time,7
SO-2024-000335,2024-09-29,SmallBiz Suppliers,B2B,Toronto Central,Toronto,Delivered,High,2,12,319.88,167.94,12879.15,Maersk Ocean Freight,TRK-0000002135-2083,2024-10-15,2024-10-13,On Time,14
SO-2024-000181,2024-09-29,Premium Auto Parts,Wholesale,Boston Fulfillment Hub,Boston,Shipped,High,2,12,1082.03,68.24,1055.41,FedEx Ground,TRK-0000001981-1940,2024-10-11,2024-10-08,On Time,9
SO-2024-000519,2024-09-29,Urban Furniture Co,Retail,Miami Cold Storage,Miami,Shipped,Standard,2,23,520.77,184.51,4179.19,DHL Express,TRK-0000002319-2252,2024-10-08,,,
SO-2024-000009,2024-09-29,Discount Depot,Retail,Dallas Mega Center,Dallas,Delivered,Standard,2,3,59.97,110.74,1139.67,DHL Express,TRK-0000001809-1781,2024-10-08,,,
SO-2024-000262,2024-09-29,Value Electronics,Retail,Los Angeles Port DC,Los Angeles,Shipped,High,2,10,659.90,152.82,2185.01,J.B. Hunt Transport,TRK-0000002062-2016,2024-10-07,2024-10-14,Late,15
SO-2024-000517,2024-09-28,AutoZone Distributors,Wholesale,Los Angeles Port DC,Los Angeles,Delivered,Standard,2,17,664.83,160.65,18246.61,J.B. Hunt Transport,TRK-0000002317-2250,2024-10-15,,,
